name,rate,subject,income_per_month,buy_tablet_or_not
Olivia,12,CS,45890,y
Ethan,5,CS,51235,y
Ava,17,EE(Electronic),36741,n
Mason,3,ME,40219,n
Isabella,8,ME,54380,y
Liam,6,CS,39874,n
Sophia,14,EE(Electrical ),57302,y
Jackson,10,ME,32987,n
Emma,20,EE(Electronic),47250,n
Aiden,2,EE(Electrical ),54106,y
Mia,1,CS,30562,n
Lucas,18,ME,57643,y
Harper,7,CS,48795,n
Noah,11,ME,35321,n
Abigail,13,EE(Electrical ),41908,n
Ella,15,EE(Electronic),53674,y
Alexander,16,ME,38899,y
Grace,19,EE(Electrical ),45213,y
Elijah,4,EE(Electronic),51247,y
Scarlett,9,CS,34125,y
